dish,net,Estimated GI
Duck meat, 46 g,0.0
Vegetable," 186 g
",20.0
Shrimp and winter bamboo shoot," 224 g
",50.0
Rice," 105 g
",70.0
Duck meat, 65 g,0.0
Bean," 36 g
",30.0
Milk," 149 g
",50.0
Pan fried wonton, 130 g,60.0
"Shrimp, bamboo shoots and mushroom"," 121 g
",15.0
Lettuce and sliced pork," 148 g
",0.0
Corn and carrot," 102 g
",35.0
Fried rice with egg, 170 g,35.0
Pan fried bun," 40g
",50.0
Wonton, 27g,60.0
Braised hairtail," 51 g
",50.0
Scrambled egg with Shepherd's-purse," 59 g
",0.0
Vegetable," 108 g
",20.0
Bacon," 30 g
",50.0
Rice, 111 g,70.0
Steamed bread, 50g,75.0
Bean," 35 g
",30.0
Coarse grain bread," 44 g
",62.5
Milk, 193 g,50.0
Caramel treats," 50g
",50.0
Steamed bread, 125g,75.0
Cucumber," 97 g
",50.0
Eggplant and soybean," 59 g
",15.0
Rice," 144 g
",70.0
Scrambled egg with Shepherd's purse,  58 g,0.0
Rice," 112 g
",70.0
Scrambled egg with Shepherd's-purse,"  149 g
",0.0
Bacon," 65 g
",50.0
Eggplant and soybean," 63 g
",15.0
Fried sliced pork with cucumber,  112 g,0.0
Steamed bread," 88 g
",75.0
Bean," 29 g
",30.0
Corn, 127 g,50.0
Egg white," 25g
",0.0
Tomato, 25g,50.0
Salty biscuits, 15g,50.0
Rice," 131 g
",70.0
Cucumber and sliced pork," 157 g
",0.0
Braised hairtail," 61 g
",50.0
Scrambled egg with Shepherd's purse," 118 g
",0.0
Eggplant and soybean," 85 g
",15.0
Bacon, 18 g,50.0
Rice," 61 g
",70.0
Cucumber and sliced pork," 151 g
",0.0
Scrambled egg with Shepherd's-purse," 168 g
",0.0
Eggplant and soybean," 80 g
",15.0
Bacon, 22 g,50.0
Milk cereal," 202 g
",50.0
Bean," 43 g
",30.0
Steamed bread," 55 g
",75.0
Egg, 56 g,0.0
Vegetable and rice," 209 g
",70.0
Pork bone soup, 290 g,0.0
Vegetable," 247 g
",20.0
Braised crucian," 78 g
",50.0
Bacon," 19 g
",50.0
Coarse grain, 110 g,50.0
Fried salty pie," 100g
",50.0
Chocolate cake, 50g,50.0
Vegetable," 172 g
",20.0
Braised pork with bamboo shoot," 103 g
",0.0
Mandarin fish, 152 g,0.0
Milk," 202 g
",50.0
Egg," 54 g
",0.0
Bean," 26 g
",30.0
Stuffed sticky rice ball, 30 g,70.0
Vegetable," 200 g
",20.0
Beef and bamboo shoot," 59 g
",0.0
Braised pork and egg," 93 g
",0.0
Coarse grain," 75 g
",50.0
Mandarin fish," 72 g
",0.0
Taro, 92 g,50.0
Vegetable," 144 g
",20.0
Shrimp and cucumber," 173 g
",50.0
Braised pork and egg with bamboo shoot," 131 g
",0.0
Coarse grain," 106 g
",50.0
Mandarin fish, 54 g,0.0
Milk cereal," 217 g
",50.0
Steamed bread," 54 g
",75.0
Egg," 53 g
",0.0
Bean, 33 g,30.0
Shrimp and cucumber," 230 g
",50.0
Shrimp and cucumber," 180 g
",50.0
Braised pork and egg," 94 g
",0.0
Coarse grain, 108 g,50.0
Egg," 131 g
",0.0
Bean," 34 g
",30.0
Pancake, 45 g,50.0
Braised pork and egg with bamboo shoot," 127 g
",0.0
Baked wheat cake," 65 g
",75.0
Rice, 132 g,70.0
Shrimp and cucumber," 214 g
",50.0
Vegetable," 290 g
",20.0
Mandarin fish," 108 g
",0.0
Dried bean curd," 58 g
",30.0
Rice, 105 g,70.0
Milk cereal," 215 g
",50.0
Taro," 93 g
",50.0
Egg," 41 g
",0.0
Bean, 34 g,30.0
Vegetable," 141 g
",20.0
Chicken wing," 69 g
",0.0
Shrimp and cucumber," 122 g
",50.0
Bacon," 14 g
",50.0
Coarse grain, 96 g,50.0
Shrimp and cucumber," 88 g
",50.0
Celery and dried bean curd," 111 g
",30.0
Milk," 220 g
",50.0
Steamed vegetable bun, 30 g,20.0
Celery and dried bean curd," 160 g
",30.0
Lettuce," 122 g
",10.0
Chicken wing," 71 g
",0.0
Scrambled egg with tomato," 123 g
",0.0
Rice, 131 g,70.0
Celery and dried bean curd," 155 g
",30.0
Chicken wing," 74 g
",0.0
Scrambled egg with tomato," 129 g
",0.0
Egg," 76g
",0.0
Milk cereal," 132 g
",50.0
Steamed bun, 69 g,50.0
Vegetable," 175 g
",20.0
Celery and dried bean curd," 130 g
",30.0
Braised pork in brown sauce,"  66 g
",25.0
Shrimp," 26 g
",50.0
Mandarin fish," 60 g
",0.0
Coarse grain, 122 g,50.0
Chicken wing," 38 g
",0.0
Vegetable  and shrimp," 272 g
",20.0
Mandarin fish," 120 g
",0.0
Coarse grain," 97 g
",50.0
Pork liver, 114 g,0.0
Braised beef noodles, 75 g,55.0
Rice," 126 g
",70.0
Cowpea," 90 g
",50.0
Chinese cabbage and shredded pork," 99 g
",5.0
Peanut and dried bean curd, 96 g,30.0
Brown daisy," 136 g
",50.0
Cucumber," 111 g
",50.0
Coarse grain," 127 g
",50.0
Pork liver, 163 g,0.0
Milk and peanut," 190 g
",50.0
Steamed bread," 33 g
",75.0
Bean," 32 g
",30.0
Corn, 32 g,50.0
Cucumber and fungus," 164 g
",50.0
Scrambled egg with tomato," 144 g
",0.0
Braised pork in brown sauce,"  58 g
",25.0
Coarse grain, 142 g,50.0
Scrambled egg with tomato," 163 g
",0.0
Braised pork in brown sauce,"  71 g
",25.0
Egg," 36 g
",0.0
Milk cereal," 224 g
",50.0
Steamed bread," 24 g
",75.0
Bean," 42 g
",30.0
Taro, 58 g,50.0
Steamed bread, 60 g,75.0
Buckwheat noodles with tomato, 442 g,55.0
Dumpling," 269 g
",50.0
Milk," 208 g
",50.0
Steamed bread," 32 g
",75.0
Taro," 34 g
",50.0
Bean, 36 g,30.0
Scrambled egg with tomato," 110 g
",0.0
Leek," 225 g
",50.0
Braised pork in brown sauce,  52 g,25.0
Scrambled egg with tomato," 175 g
",0.0
Rice," 103 g
",70.0
Bean sprout," 97 g
",30.0
Vegetable, 220 g,20.0
Dumpling, 64 g,50.0
Braised pork in brown sauce,"  64 g
",25.0
