dish,net,Estimated GI
Vegetable, 30 g,20.0
Duck egg," 30 g
",0.0
Duck meat," 40 g
",0.0
Cereal," 150 ml
",50.0
Fish, 30 g,0.0
Duck meat," 50 g
",0.0
Steamed bun," 70 g
",50.0
Fish," 30 g
",0.0
Long bean, 50 g,30.0
Salted egg," 50 g
",0.0
 Steamed bun," 60 g
",50.0
Oats porridge," 100 g
",50.0
Duck, 30 g,0.0
Duck," 30 g
",0.0
 Steamed bun," 70 g
",50.0
Egg, 30 g,0.0
Lotus root, 50 g,50.0
Biscuit, 30 g,50.0
 Steamed bun," 50 g
",50.0
Fish, 40 g,0.0
Duck egg," 70 g
",0.0
Pork rib and lotus root soup," 150 ml
",0.0
Fish, 10 g,0.0
Biscuit, 50 g,50.0
Soup, 250 ml,50.0
Scrambled tomato and egg," 50 g
",0.0
Potato and green bean," 50 g
",55.0
Eggplant, 50 g,0.0
Wax gourd and egg roll," 50 g
",0.0
Celery and smoked bean curd and carrot, 50 g,32.5
Sugar free pork floss, 10 g,0.0
Steamed salted pork in wine," 30 g
",0.0
Fried egg with towel gourd," 30 g
",0.0
Cucumber," 30 g
",50.0
Steamed salted pork in wine," 20 g
",0.0
Chicken nugget," 30 g
",0.0
Tomato and wax gourd soup," 30 g
",50.0
Steamed bean curd roll," 35 g
",30.0
Sliced boiled pork," 15 g
",0.0
Green bean," 25 g
",30.0
Steamed bun and pork floss," 80 g
",0.0
Steamed bean curd roll," 20 g
",30.0
Sliced duck," 20 g
",0.0
Wax gourd and tomato," 35 g
",50.0
Eggplant," 25 g
",0.0
Steamed salted pork in wine, 20 g,0.0
Fish pieces," 30 g
",0.0
Tofu," 30 g
",15.0
Cucumber," 20 g
",50.0
Tomato and cabbage," 30 g
",10.0
Fish cube," 30 g
",0.0
 Steamed salted pork in wine," 20 g
",0.0
Cucumber," 15 g
",50.0
Steamed salted pork in wine," 15 g
",0.0
Duck pieces, 15 g,0.0
Chinese pancake," 150 g
",50.0
Sliced pork," 25 g
",0.0
Mushroom and carrot," 20 g
",25.0
Bread," 45 g
",75.0
Wax gourd soup," 100 ml
",50.0
Shredded pork with water bamboo," 80 g
",0.0
Soybean milk, 175 ml,30.0
Mixed rice," 128 g
",70.0
Mushroom and beef," 60 g
",15.0
Dehydrated vegetable, 8 g,20.0
Fried pork with onion," 100 g
",0.0
Cucumber and okra," 150 g
",50.0
Sea cucumber," 45 g
",50.0
Tomato and wax gourd soup," 100 ml
",50.0
Soybean milk," 175 ml
",30.0
Noodles mixed with  butter," 100 g
",55.0
Beef and king oyster mushroom," 150 g
",15.0
Shrimp with black truffle," 100 g
",50.0
Wax gourd and salted pork soup," 100 ml
",0.0
Fried pork slices with cabbage," 100 g
",5.0
"Corn, green bean, carrot, and pine nut"," 150 g
",32.5
Roast lamb chops with onion," 200 g
",50.0
Whey protein wafer bar," 40 g
",50.0
Konjak cold noodles," 150 g
",55.0
Celery and dried bean curd and shredded beef," 100 g
",30.0
Minced pork with eggplant, 100 g,0.0
Chicken and wax gourd soup," 100 ml
",0.0
Fried eggplant, 50 g,0.0
Vegetable salad," 150 g
",20.0
Sliced beef," 95 g
",0.0
Coarse grain," 105 g
",50.0
Fried pork with cabbage, 120 g,5.0
Wafer bar," 40 g
",50.0
Mix noodles," 100 g
",55.0
Tomato, 60 g,50.0
 Hairtail," 100 g
",50.0
Sliced boiled chicken," 100 g
",0.0
Snail," 50 g
",50.0
Scallop, 50 g,50.0
Seafood, 200 g,50.0
Wonton, 50 g,60.0
Seafood, 210 g,50.0
Tomato and egg soup," 100 ml
",0.0
Fried needle mushroom, 100 g,15.0
Scallion oil noodles," 120 g
",55.0
Corn soup," 100 ml
",50.0
Green vegetable and mushroom," 100 g
",15.0
Spicy pork, 80 g,0.0
Red hairy hermit crab," 500 g
",0.0
Emperor crab," 200 g
",0.0
Steak, 120 g,50.0
Mixed rice," 100 g
",70.0
Shredded beef with long bean," 150 g
",30.0
Yellow croaker noodles, 150 g,55.0
Vegetable salad, 120 g,20.0
Soy flour pancake," 30 g
",50.0
Thin egg pancake," 40 g
",0.0
Mixed coarse grain with beef and onion," 270 g
",50.0
Salted shrimp," 200 g
",50.0
Lettuce with oyster sauce, 100 g,50.0
Wafer bar," 288 g
",50.0
Chicken meatball," 100 g
",0.0
Noodles with beef and scallion oil, 100 g,55.0
Konjak cold noodles mixed with peanut butter," 180 g
",55.0
Fried gluten puff,"  80 g
",50.0
Vegetable and mushroom, 120 g,15.0
Fried tasty snail," 100 g
",50.0
Abalone," 50 g
",50.0
"Egg yolk, Chicken wing and fish", 100 g,0.0
Shrimp dumpling," 40 g
",50.0
Wonton stuffed with corn and pork, 50 g,30.0
Sausage," 20 g
",50.0
Pig liver," 50 g
",50.0
Fried zucchini, 100 g,50.0
Onion ring, 40 g,50.0
Asparagus," 80 g
",50.0
Chicken soup, 100 ml,0.0
Vegetable salad, 150 g,20.0
Fried pork with water bamboo," 120 g
",0.0
Braised bream," 100 g
",50.0
Shrimp, 80 g,50.0
Peanut butter," 20 g
",50.0
Konjak cold noodles," 50 g
",55.0
Roast pork, 200 g,0.0
Laver soup," 50 g
",50.0
Scrambled egg, 50 g,0.0
Tofu skin rolls with minced pork," 30 g
",7.5
Fried egg with onion, 50 g,0.0
Fish and eggplant, 50 g,0.0
Cake, 50 g,50.0
Spicy hot pot, 300 g,50.0
Duck head," 50 g
",0.0
Grape, 10 g,50.0
Cake," 20 g
",50.0
Braised pork with bamboo shoots," 50 g
",0.0
Pizza," 150 g
",50.0
Grape, 20 g,50.0
Rice and pickles, 100 g,70.0
Peach, 150 g,50.0
Duck," 50 g
",0.0
Peach," 150 g
",50.0
Egg tart, 100 g,0.0
Steamed bean bun, 80 g,30.0
Fried noodles, 100 g,55.0
Rice cake, 80 g,70.0
Hot pot, 300 g,50.0
Sugar free sticky rice cake, 80 g,70.0
Sticky rice cake, 80 g,70.0
Steamed gluten," 50 g
",50.0
Egg soup, 100 ml,0.0
Apple," 125 g
",40.0
Peach, 60 g,50.0
Fried rice," 100 g
",70.0
Braised bamboo shoots, 50 g,50.0
Fungus, 80 g,50.0
Pork rib, 50 g,0.0
Towel gourd," 120 g
",50.0
Scrambled egg with tomato," 120 g
",0.0
Beer," 650 ml
",50.0
Rye bread," 100 g
",75.0
Milk, 188 g,50.0
Rye bread, 100 g,75.0
Dumpling," 230 g
",50.0
Noodles, 250 g,55.0
Beer," 500 ml
",50.0
Lamb chop," 130 g
",50.0
Vegetable stuffed wonton, 200 g,60.0
Beer," 330 ml
",50.0
Pork chop, 80 g,0.0
Beer," 630 ml
",50.0
Cucumber," 250 g
",50.0
Tomato," 80 g
",50.0
Egg," 30 g
",0.0
Rye bread," 50 g
",75.0
Plum, 40 g,50.0
Pork chop, 150 g,0.0
Cucumber," 80 g
",50.0
Braised pork with preserved vegetable in soya sauce," 40 g
",25.0
Cauliflower," 30 g
",15.0
Green onion," 50 g
",50.0
Steamed vegetable bun," 40 g
",20.0
Cucumber," 120 g
",50.0
Nut, 30 g,50.0
Dumpling, 60 g,50.0
Beer," 320 ml
",50.0
Towel gourd," 20 g
",50.0
Steamed gluten," 40 g
",50.0
Pork rib," 60 g
",0.0
Minced garlic," 50 g
",50.0
Rice," 20 g
",70.0
Pan-fried dumplings," 50 g
",50.0
Durian," 30 g
",50.0
Peach, 300 g,50.0
Cucumber," 60 g
",50.0
Green onion," 40 g
",50.0
Pork," 60 g
",0.0
Green onion," 60 g
",50.0
Chicken," 60 g
",0.0
Jellyfish, 40 g,0.0
Pan-fried dumplings," 100 g
",50.0
Fungus, 400 g,50.0
Pumpkin," 80 g
",50.0
Scrambled egg, 60 g,0.0
Chicken, 40 g,0.0
Tofu pudding, 30 g,15.0
Noodles served with sauce," 100 g
",52.5
Egg white," 25 g
",0.0
Milk, 220 ml,50.0
Braised pork with tofu skin knot," 50 g
",7.5
Fried vermicelli, 50 g,50.0
Tomato and egg noodles, 150 g,27.5
Sweet potato," 50 g
",80.0
Beef and onion, 40 g,0.0
Taro," 80 g
",50.0
Egg white, 50 g,0.0
Chicken leg," 80 g
",0.0
Water spinach," 20 g
",50.0
Vegetable," 270 g
",20.0
Corn," 80 g
",50.0
Wax gourd, 100 g,50.0
Beef patty," 142 g
",0.0
Duck soup," 100 g
",0.0
Green soybean," 80 g
",30.0
Pork patty, 100 g,0.0
Chicken, 100 g,0.0
Sword bean, 80 g,30.0
Steamed vermicelli bun," 100 g
",50.0
Beef with potato," 80 g
",80.0
Cauliflower, 50 g,15.0
Deep-fried dough stick," 50 g
",50.0
Mapo tofu, 50 g,15.0
Chicken," 180 g
",0.0
Chongqing style boiled blood curd," 150 g
",50.0
Shredded radish pancake," 100 g
",50.0
Pork rib," 80 g
",0.0
Clam," 50 g
",50.0
Dried bean curd salad," 80 g
",30.0
Yam and fungus," 50 g
",50.0
Yam," 80 g
",50.0
Okra, 50 g,50.0
 Taro," 100 g
",50.0
Apple cider vinegar," 100 g
",40.0
Pork meatball," 100 g
",0.0
Sword bean," 80 g
",30.0
Pork rib soup," 50 g
",0.0
Sweet bean," 50 g
",30.0
Eggplant, 40 g,0.0
Bread," 110 g
",75.0
Ham sausage," 40 g
",50.0
Eel and water bamboo, 50 g,50.0
Tomato," 60 g
",50.0
Watermelon, 290 g,50.0
Melon, 340 g,50.0
Wonton," 260 g
",60.0
Watermelon, 178 g,50.0
Cereal," 75 g
",50.0
Melon, 240 g,50.0
Bread," 140 g
",75.0
Ham sausage, 40 g,50.0
Bread," 120 g
",75.0
Grape, 100 g,50.0
Corn," 167 g
",50.0
Chicken fillet, 47 g,0.0
Cod burger," 200 g
",50.0
Chicken fillet, 64 g,0.0
Noodles," 120 g
",55.0
Cereal," 80 g
",50.0
Wonton, 380 g,60.0
Dried bamboo shoots," 30 g
",50.0
Fish," 55 g
",0.0
Melon, 177 g,50.0
Bamboo shoot," 50 g
",50.0
Borscht soup," 50 g
",50.0
Corn, 70 g,50.0
Dried egg," 25 g
",0.0
Crab," 60 g
",0.0
Soup, 300 g,50.0
Pickled cabbage," 7.5 g
",10.0
Peach, 430 g,50.0
Noodles," 90 g
",55.0
Mangosteen, 47 g,50.0
Bread," 55 g
",75.0
Shrimp," 86 g
",50.0
Bread," 114 g
",75.0
Shrimp, 74 g,50.0
Eel shreds," 75 g
",50.0
Vegetable," 25 g
",20.0
Radish," 25 g
",50.0
Shrimp," 47 g
",50.0
Fish," 110 g
",0.0
Dried fish fillet, 10 g,0.0
Fish intestines," 60 g
",0.0
Yellow peach, 300 g,50.0
Biscuits," 57 g
",50.0
Dried pork," 20 g
",0.0
Fish intestines," 15 g
",0.0
Melon, 290 g,50.0
Fried egg with water bamboo," 50 g
",0.0
Beef with onion," 80 g
",0.0
Fish intestines, 45 g,0.0
Water bamboo, 50 g,50.0
Noodles, 130 g,55.0
Steamed beef bun, 144 g,0.0
Beer," 100 ml
",50.0
Vegetable cake, 140 g,20.0
Cake," 60 g
",50.0
Peach," 50 g
",50.0
Pineapple, 120 g,40.0
Crab," 120 g
",0.0
Pancake," 214 g
",50.0
Plum, 245 g,50.0
Pork soup, 50 g,0.0
Plum," 210 g
",50.0
Watermelon, 340 g,50.0
Crawfish," 20 g
",0.0
Bean cake," 75 g
",30.0
Spring roll," 40 g
",50.0
Steamed meat bun, 25 g,50.0
Laver, 8 g,50.0
Laver," 8 g
",50.0
Plum, 350 g,50.0
Plum, 375 g,50.0
Pork, 80 g,0.0
Rice cake," 190 g
",70.0
Pork," 90 g
",0.0
Plum, 60 g,50.0
Shellfish," 32 g
",0.0
Fish," 76 g
",0.0
Cheese bun, 192 g,50.0
Wonton," 300 g
",60.0
Fish," 127 g
",0.0
Milk tea, 593 g,50.0
Pancake, 254 g,50.0
Grape," 120 g
",50.0
Watermelon, 317 g,50.0
Rice cake," 42 g
",70.0
Crab," 18 g
",0.0
Beef," 23 g
",0.0
Egg," 19 g
",0.0
Chicken feet, 14 g,0.0
Ham sausage, 48 g,50.0
Potato soup, 180 g,80.0
Egg," 76 g
",0.0
Chicken feet," 12 g
",0.0
Oats," 42 g
",50.0
Ham sausage," 48 g
",50.0
Banana, 150 g,60.0
Watermelon, 358 g,50.0
Rice," 55 g
",70.0
Fish," 146 g
",0.0
Vegetable, 120 g,20.0
Oat stick," 84 g
",50.0
Banana," 84 g
",60.0
Peach, 259 g,50.0
Pumpkin porridge," 408 g
",50.0
Vegetable," 211 g
",20.0
Peach, 256 g,50.0
Vegetable," 170 g
",20.0
Fish, 110 g,0.0
Oat stick," 126 g
",50.0
Peach, 295 g,50.0
Peach, 296 g,50.0
Fish," 196 g
",0.0
Bread," 111 g
",75.0
Peach, 216 g,50.0
Bread," 131 g
",75.0
Soup, 190 g,50.0
Bread," 117 g
",75.0
Peach, 177 g,50.0
Vegetable," 272 g
",20.0
Fish, 38 g,0.0
Plum, 230 g,50.0
Watermelon, 346 g,50.0
Vegetable," 260 g
",20.0
Fish," 35 g
",0.0
Plum, 242 g,50.0
Bread," 92 g
",75.0
Plum, 279 g,50.0
Fish, 130 g,0.0
Orange, 263 g,45.0
Cake," 32 g
",50.0
Grape," 82 g
",50.0
Watermelon, 189 g,50.0
Bread," 152 g
",75.0
Bread," 106 g
",75.0
Water chestnut, 107 g,50.0
Shrimp, 65 g,50.0
Oily bean curd and vermicelli soup, 261 g,30.0
Steak," 90 g
",50.0
Buckwheat bread, 40 g,75.0
Sandwich," 130 g
",50.0
Sugar," 20 g
",50.0
Fried egg with fungus," 100 g
",0.0
Chicken nugget," 80 g
",0.0
Shredded pork with Chinese cabbage," 100 g
",5.0
Tofu soup," 80 g
",15.0
Green pepper," 80 g
",15.0
Millet porridge, 50 g,50.0
Vegetable and rice, 20 g,70.0
Wonton, 150 g,60.0
Beef and potato, 50 g,80.0
Fried squid with celery," 100 g
",50.0
Melon seeds, 30 g,50.0
Pork feet," 52 g
",0.0
Sugar free cake, 55 g,50.0
Fried shredded pork with green pepper," 60 g
",0.0
Shredded pork with vegetable," 60 g
",0.0
Braised wax gourd, 60 g,50.0
Pumpkin paste," 60 g
",50.0
Steamed vegetable bun," 25 g
",20.0
Fermented rice cake," 120 g
",70.0
Duck and vermicelli soup," 112 g
",0.0
Oil pastry, 50 g,50.0
Melon seed, 20 g,50.0
Steamed  bun," 50 g
",50.0
Coarse grain porridge," 80 g
",50.0
Sheet jelly," 50 g
",50.0
Soup," 250 ml
",50.0
Sugar," 10 g
",50.0
Scrambled egg with tomato," 30 g
",0.0
Water spinach," 30 g
",50.0
Pig liver with green pepper," 30 g
",15.0
Coarse grain," 20 g
",50.0
Cucumber, 30 g,50.0
Ice cream," 10 g
",50.0
Melon seed," 10 g
",50.0
Abalone," 150 g
",50.0
Biscuit," 10 g
",50.0
Cantaloupe, 30 g,50.0
Chicken," 80 g
",0.0
Grape, 40 g,50.0
Soyben milk," 100 ml
",50.0
Fried gluten puff," 60 g
",50.0
Rice, 10 g,70.0
Wax gourd," 20 g
",50.0
Broad sweet bean and sausage, 20 g,30.0
Soymilk, 100 ml,50.0
Sugar, 50 g,50.0
Beef, 100 g,0.0
Poach egg," 50 g
",0.0
Fried squid with vegetable," 50 g
",20.0
Fried garlic with duck blood curd," 50 g
",0.0
Ice cream, 50 g,50.0
Boiled pork," 100 g
",0.0
Rice, 20 g,70.0
Pear, 200 g,50.0
Hot pot, 400 g,50.0
Banana, 80 g,60.0
Whole wheat bread," 100 g
",75.0
Plum juice, 100 g,50.0
Watermelon," 120 g
",50.0
Cake," 50 g
",50.0
Yellow croaker," 100 g
",50.0
Durian cake, 60 g,50.0
Sticky rice cake, 50 g,70.0
Soybean milk, 100 g,30.0
Golden melon," 50 g
",50.0
Towel gourd and soybean," 100 g
",30.0
Yellow rice wine, 250 g,70.0
Beef and onion," 50 g
",0.0
Salted peanut," 100 g
",50.0
Yellow rice wine, 300 ml,70.0
Steamed pork bun," 75 g
",0.0
Pork mooncake, 150 g,0.0
Shredded golden melon," 100 g
",50.0
Yellow rice wine," 300 ml
",70.0
Coarse grain bread, 100 g,62.5
Onion and beef," 100 g
",0.0
Shredded pork and celery, 80 g,0.0
Lettuce," 80 g
",10.0
Pig ear," 50 g
",50.0
Beer, 750 ml,50.0
Steamed fish head," 120 g
",0.0
Beer," 750 ml
",50.0
Jellyfish head," 50 g
",0.0
Pig lung," 60 g
",50.0
 Lettuce," 500 g
",10.0
Swimming crab," 400 g
",0.0
Beer, 300 ml,50.0
Steamed twisted roll," 120 g
",50.0
Three kinds of cold mixed vegetables," 50 g
",20.0
Pork and soybean," 150 g
",15.0
Shredded pork with leek sprout," 100 g
",0.0
Tomato and egg soup," 120 ml
",0.0
Roast duck," 120 g
",0.0
Towel gourd soup," 150 ml
",50.0
Fried egg with leek sprout, 100 g,0.0
Pork rib," 120 g
",0.0
Duck pieces," 50 g
",0.0
Scrambled egg with towel gourd,"  100 g
",0.0
Pig foot," 50 g
",50.0
Yellow rice wine, 400 ml,70.0
Noodles in vegetable soup, 350 g,55.0
Meatball," 50 g
",50.0
Braised pork in brown sauce,"  100 g
",25.0
Noodles, 120 g,55.0
Beef in sour soup," 180 ml
",0.0
Crab," 125 g
",0.0
Rice cake," 50 g
",70.0
Yellow rice wine," 400 ml
",70.0
Hamburger," 150 g
",50.0
Egg soup," 100 ml
",0.0
Fried chicken nugget, 150 g,0.0
Coarse grain pancake, 80 g,50.0
Soybean milk," 500 ml
",30.0
 Millet porridge," 500 g
",50.0
Tofu skin rolls with minced pork," 20 g
",7.5
Lettuce, 400 g,10.0
Pumpkin," 400 g
",50.0
Dried bean curd and potato," 20 g
",55.0
Spring chicken," 20 g
",0.0
Wax gourd and soybean, 40 g,30.0
Wax gourd and soybean, 300 g,30.0
Sweet and sour ginger," 5 g
",50.0
Soybean milk," 400 ml
",30.0
Beef patty, 150 g,0.0
Boiled shrimp," 60 g
",50.0
Pumpkin," 10 g
",50.0
Cabbage, 200 g,10.0
Pumpkin cake," 50 g
",50.0
Walnut, 20 g,50.0
Dried bean curd," 250 g
",30.0
Oyster, 200 g,50.0
Soybean milk," 300 ml
",30.0
Nut," 25 g
",50.0
Ginger, 5 g,50.0
Cabbage," 200 g
",10.0
Fried mushroom, 200 g,15.0
Pumpkin cake," 60 g
",50.0
Walnut," 30 g
",50.0
Ginger," 5 g
",50.0
Hamburger," 200 g
",50.0
Chicken nugget, 100 g,0.0
 Tomato," 50 g
",50.0
Egg soup, 300 g,0.0
 Milk," 240 ml
",50.0
Salted biscuit," 20 g
",50.0
Walnut," 20 g
",50.0
Dried bean curd," 35 g
",30.0
Dried sweet potato, 100 g,80.0
Soybean milk," 600 ml
",30.0
Sweet potato," 80 g
",80.0
Ginger, 5g,50.0
Salted egg, 50 g,0.0
Scallion pancake, 80 g,10.0
Coarse grain," 300 g
",50.0
Fish," 300 g
",0.0
Pumpkin," 100 g
",50.0
Spinach, 300 g,50.0
"Tomato, needle mushroom egg soup", 500 g,7.5
Sweet potato," 30 g
",80.0
Fried spinach, 100 g,50.0
Steamed bun stuffed with preserved vegetable, 60 g,20.0
Dried bean curd," 30 g
",30.0
Soybean milk, 300 ml,30.0
Spinach," 50 g
",50.0
Potato, 30 g,80.0
Milk," 110 ml
",50.0
Shredded pork, 100 g,0.0
 Grapefruit, 60 g,25.0
Coarse grain noodles," 30 g
",52.5
Steamed Coarse grain bread," 20 g
",62.5
Spinach, 150 g,50.0
Spinach and shredded pork soup," 15 g
",0.0
 Noodles," 30 g
",55.0
Shredded pork with celery, 30 g,0.0
Egg dumpling," 40 g
",0.0
"Cabbage, fungus and bamboo shoots", 300 g,10.0
Shredded pork with cabbage," 150 g
",5.0
Vegetable and rice," 20 g
",70.0
Shepherd's purse and tofu soup, 30 g,15.0
Coarse grain," 15 g
",50.0
Egg dumpling," 20 g
",0.0
Meatball, 50 g,50.0
Pork chop," 80 g
",0.0
Medicago polymorpha, 150 g,50.0
Meatball," 35 g
",50.0
Vegetable, 250 g,20.0
Salted egg," 60 g
",0.0
Coarse grain," 30 g
",50.0
Salted goose," 100 g
",50.0
Medicago polymorpha," 50 g
",50.0
Shepherd's purse and shredded bamboo shoots soup, 100 g,50.0
Soybean milk," 150 ml
",30.0
Tea egg," 50 g
",0.0
Baked cake," 80 g
",50.0
Rice cake, 70 g,70.0
Buckwheat bread," 53 g
",75.0
Salted egg," 72 g
",0.0
Milk," 80 g
",50.0
Buckwheat noodles, 120 g,55.0
Clam," 15 g
",50.0
Chinese cabbage," 20 g
",10.0
Vegetable, 15 g,20.0
Clams with vegetable, 100 g,20.0
Duck soup," 150 g
",0.0
Milk and coffee, 100 ml,50.0
Baked pancake," 100 g
",50.0
Soybean milk, 150 ml,30.0
 Coarse grain," 60 g
",50.0
Pork meatball," 50 g
",0.0
Pomfret, 80 g,0.0
Vegetable and pork meatball, 150 g,0.0
Buckwheat bread," 60 g
",75.0
Vegetable and pork meatball, 70 g,0.0
Buckwheat bread," 75 g
",75.0
Meatball, 30 g,50.0
Bitter gourd," 80 g
",50.0
Yellow croaker," 60 g
",50.0
Radish and pork rib soup, 30 g,0.0
Millet porridge," 200 g
",50.0
Whole wheat bread," 20 g
",75.0
Cucumber, 40 g,50.0
Kiwi, 40 g,50.0
Chicken," 75 g
",0.0
Rice noodle soup, 100 g,70.0
Black rice," 120 g
",70.0
Vegetable stuffed pork meatball, 100 g,0.0
 Kiwi fruit, 40 g,40.0
Noodles, 200 g,55.0
 Milk and coffee and cake, 50 g,50.0
Steamed egg with dried shredded vegetable, 50 g,0.0
Soymilk," 150 g
",50.0
Coarse grain pancake with egg, 150 g,25.0
Shredded radish pancake," 150 g
",50.0
Wax gourd and tomato, 150 g,50.0
Black rice," 150 g
",70.0
Soybean milk," 50 g
",30.0
Sweet bread," 160 g
",75.0
Coconut juice," 300 ml
",50.0
Fermented milk, 250 g,50.0
Pear," 100 g
",50.0
Milk, 80 ml,50.0
Fresh milk," 400 ml
",50.0
Peach," 100 g
",50.0
Green pepper and egg, 50 g,0.0
Milk tea," 500 ml
",50.0
Beef hamburger, 100 g,0.0
Coconut juice, 50 ml,50.0
Japanese food, 300 g,50.0
Pear, 80 g,50.0
Coarse grain Soybean milk," 300 g
",40.0
 Rice," 100 g
",70.0
Spaghetti," 100 g
",50.0
Mutton," 100 g
",50.0
Fruit, 200 g,40.0
Egg and glutinous rice balls and egg in fermented rice wine," 100 g
",35.0
Steamed beaf bun," 30 g
",50.0
Braised pork in brown sauce,  50 g,25.0
Chicken breast, 250 g,0.0
Pear," 50 g
",50.0
Scrambled egg with green pepper, 50 g,0.0
"
Vegetable", 300 g,20.0
Seafood porridge, 1200g,50.0
Dumpling," 40 g
",50.0
Sweet potato, 50 g,80.0
Steamed stuffed bun," 60 g
",50.0
Porridge," 300 ml
",50.0
Lotus nut porridge," 200 ml
",50.0
Duck," 20 g
",0.0
Pear, 100 g,50.0
Orange, 400 ml,45.0
Chicken noodle soup,  200 g,27.5
Milk, 400 ml,50.0
Cereal," 400 g
",50.0
Snacks, 300 g,50.0
Lemon tea, 500 ml,50.0
Tea, 500 ml,50.0
Chicken soup, 400 ml,0.0
Pear, 20 g,50.0
Fried vegetable, 400 g,20.0
Glucose, 75 g,50.0
Vegetable, 300 g,20.0
Dumpling, 200 g,50.0
Apple," 100 g
",40.0
Mangosteen, 20 g,50.0
Kiwi fruit, 100 g,40.0
Milk cereal," 400 ml
",50.0
Vegetable, 400 g,20.0
Glutinous rice balls in fermented rice wine," 300 ml
",70.0
Glutinous rice cake, 100 g,70.0
Pork meatball," 150 g
",0.0
Hot pot with duck blood curd, 400 g,0.0
Millet porridge," 400 ml
",50.0
Red date,"  5 g
",50.0
Pickles, 30 g,50.0
Spicy pickled noodles," 150 g
",55.0
Shredded pork with water bamboo and sword bean, 150 g,15.0
Shredded water bamboo," 100 g
",50.0
Yam," 50 g
",50.0
Stewed minced pork and egg, 100 g,0.0
Lotus root," 30 g
",50.0
Pork meatball, 75 g,0.0
Egg pancake, 125 g,0.0
Wonton, 80 g,60.0
Rice," 125 g
",70.0
Cabbage," 75 g
",10.0
Minced meat with eggplant, 100 g,0.0
Puff pastry, 175 g,50.0
Vegetable and pumpkin," 100 g
",20.0
Fried pork chop, 100 g,0.0
Yam," 120 g
",50.0
Mixed vegetables, 100 g,20.0
Rice in salted soup, 175 g,70.0
Coarse grain in soup, 125 g,50.0
Vegetable and rice," 125 g
",70.0
Braiesd pork with preserved vegetable and tofu, 200 g,7.5
 Egg pancake, 120 g,0.0
Braised pork in brown sauce,"  70 g
",25.0
Mung bean sprouts," 100 g
",30.0
Pork rib," 50 g
",0.0
Fried shredded pork with water bamboo, 100 g,0.0
Noodles with pickled vegetable in chili sauce, 125 g,52.5
Yam," 60 g
",50.0
 Vegetable," 150 g
",20.0
 Cabbage," 100 g
",10.0
Fish," 200 g
",0.0
 Spicy sauce noodles," 150 g
",52.5
Eggplant and yam," 100 g
",0.0
Rice, 125 g,70.0
Shredded bamboo shoot," 200 g
",50.0
Pan fried bun, 300 g,50.0
Potato," 200 g
",80.0
Puff pastry, 125 g,50.0
Rice in soup, 100 g,70.0
 Spicy sauce noodles, 150 g,52.5
Water bamboo shreds," 50 g
",50.0
Soybean sprouts," 200 g
",30.0
Leek sprouts, 100 g,50.0
Wonton," 120 g
",60.0
Yogurt, 205 g,50.0
Vegetable soup, 400 ml,20.0
Fruit and vegetable," 150 g
",30.0
Apple," 77 g
",40.0
Walnut," 50 g
",50.0
Red date," 15 g
",50.0
Chinese wolfberry, 20 g,25.0
Vegetable soup, 200 ml,20.0
Pork rib and radish soup," 400 g
",0.0
Vegetable soup, 200 g,20.0
Fruit and vegetable pulp," 400 g
",30.0
Chinese wolfberry," 20 g
",25.0
Carrot, 50 g,35.0
Broth, 400 g,50.0
Vegetable soup noodles, 25 g,55.0
Fruit and vegetable pulp, 400 g,30.0
Chinese cabbage," 80 g
",10.0
Vegetable soup and noodles, 50 g,55.0
Pork soup," 400 g
",0.0
Noodles in vegetable soup, 50 g,55.0
Vegetable," 160 g
",20.0
Vegetable soup, 400 g,20.0
Radish in pork soup," 400 g
",0.0
Corn noodles in vegetable soup,  50 g,55.0
Radish in pork soup,"  400 g
",0.0
Vegetable soup," 400 g
",20.0
Cereal milk," 150 ml
",50.0
Coarse grain steamed bread, 100 g,62.5
Steamed corn bread, 25 g,75.0
Coarse grain Steamed bread of corn," 50 g
",62.5
Porridge, 75 g,50.0
Cereal Vegetable, 200 g,20.0
Coarse grain steamed bread," 100 g
",62.5
Cereal, 150 ml,50.0
Steamed corn bread, 50 g,75.0
Taro," 10 g
",50.0
Bean, 100 g,30.0
Hot pot," 300 g
",50.0
Steamed corn bread," 100 g
",75.0
Millet porridge, 100 ml,50.0
Steamed corn bread," 50 g
",75.0
Coarse grain pancake, 15 g,50.0
Millet porridge, 150 ml,50.0
Bean, 60 g,30.0
Chinese chestnuts, 40 g,50.0
Steamed corn bread, 100 g,75.0
Pan-fried coarse grain pancake," 200 g
",50.0
Porridge, 100 ml,50.0
Dried wheat gluten with pork stuffing," 60 g
",0.0
Water bamboo," 40 g
",50.0
Wax gourd soup, 100 ml,50.0
 Sausage bread," 110 g
",75.0
Dried wheat gluten with pork stuffing," 100 g
",0.0
Sweet potato," 130 g
",80.0
Sea cucumber, 25 g,50.0
Minced pork and vegetable, 50 g,0.0
Wax gourd, 20 g,50.0
Steamed bun," 110 g
",50.0
Pomfret," 75 g
",0.0
 Steamed bread," 110 g
",75.0
Sweet potato," 120 g
",80.0
Pork," 30 g
",0.0
Pork rib," 30 g
",0.0
Shredded potato and sword bean, 50 g,55.0
Potato and sword bean," 50 g
",55.0
Roasted goose, 75 g,50.0
Syrup, 400 ml,50.0
Water bamboo," 30 g
",50.0
Sweet biscuit, 50 g,50.0
