dish,net,Estimated_GI,net_cleaned,Net_Carbs,GL
Steamed bun and pork floss," 80 g
",0.0,80.0,24.0,0.0
Egg," 50 g
",30.0,50.0,15.0,4.5
Milk, 250 g,50.0,250.0,75.0,37.5
Steamed bean curd roll," 20 g
",50.0,20.0,6.0,3.0
Sliced duck," 20 g
",50.0,20.0,6.0,3.0
Wax gourd and tomato," 35 g
",50.0,35.0,10.5,5.25
Rice," 80 g
",50.0,80.0,24.0,12.0
Eggplant," 25 g
",30.0,25.0,7.5,2.25
Steamed salted pork in wine, 20 g,0.0,20.0,6.0,0.0
Steamed bean curd roll," 20 g
",50.0,20.0,6.0,3.0
Sliced duck," 20 g
",50.0,20.0,6.0,3.0
Wax gourd and tomato," 35 g
",50.0,35.0,10.5,5.25
Rice," 80 g
",50.0,80.0,24.0,12.0
Eggplant," 25 g
",30.0,25.0,7.5,2.25
Steamed salted pork in wine, 20 g,0.0,20.0,6.0,0.0
Steamed vegetable bun," 80 g
",50.0,80.0,24.0,12.0
Egg," 50 g
",30.0,50.0,15.0,4.5
Milk, 250 g,50.0,250.0,75.0,37.5
Fish pieces," 30 g
",50.0,30.0,9.0,4.5
Steamed salted pork in wine," 20 g
",0.0,20.0,6.0,0.0
Tofu," 30 g
",50.0,30.0,9.0,4.5
Cucumber," 20 g
",50.0,20.0,6.0,3.0
Tomato and cabbage," 30 g
",50.0,30.0,9.0,4.5
Rice, 80 g,50.0,80.0,24.0,12.0
Fish cube," 30 g
",50.0,30.0,9.0,4.5
 Steamed salted pork in wine," 20 g
",0.0,20.0,6.0,0.0
Tofu," 30 g
",50.0,30.0,9.0,4.5
Cucumber," 20 g
",50.0,20.0,6.0,3.0
Tomato and cabbage," 30 g
",50.0,30.0,9.0,4.5
Rice, 80 g,50.0,80.0,24.0,12.0
Steamed bun and pork floss," 80 g
",0.0,80.0,24.0,0.0
Egg," 50 g
",30.0,50.0,15.0,4.5
Milk, 250 g,50.0,250.0,75.0,37.5
Vegetable," 30 g
",50.0,30.0,9.0,4.5
Cucumber," 15 g
",50.0,15.0,4.5,2.25
Steamed salted pork in wine," 15 g
",0.0,15.0,4.5,0.0
Rice," 80 g
",50.0,80.0,24.0,12.0
Duck pieces, 15 g,50.0,15.0,4.5,2.25
Vegetable," 30 g
",50.0,30.0,9.0,4.5
Cucumber," 15 g
",50.0,15.0,4.5,2.25
Steamed salted pork in wine," 15 g
",0.0,15.0,4.5,0.0
Rice," 80 g
",50.0,80.0,24.0,12.0
Duck pieces, 15 g,50.0,15.0,4.5,2.25
Chinese pancake," 150 g
",50.0,150.0,45.0,22.5
Egg," 50 g
",30.0,50.0,15.0,4.5
Milk, 250 g,50.0,250.0,75.0,37.5
Wax gourd and tomato," 35 g
",50.0,35.0,10.5,5.25
Sliced pork," 25 g
",0.0,25.0,7.5,0.0
Tofu," 15 g
",50.0,15.0,4.5,2.25
Green bean," 50 g
",50.0,50.0,15.0,7.5
Mushroom and carrot," 20 g
",26.25,20.0,6.0,1.575
Shrimp," 30 g
",50.0,30.0,9.0,4.5
Rice, 80 g,50.0,80.0,24.0,12.0
Rice cake," 30 g
",50.0,30.0,9.0,4.5
Egg," 50 g
",30.0,50.0,15.0,4.5
Bread," 45 g
",50.0,45.0,13.5,6.75
Milk, 250 ml,50.0,250.0,75.0,37.5
Coarse grain," 100 g
",40.0,100.0,30.0,12.0
Steak," 120 g
",50.0,120.0,36.0,18.0
Hairtail," 100 g
",50.0,100.0,30.0,15.0
Zucchini, 100 g,50.0,100.0,30.0,15.0
Wax gourd soup," 100 ml
",50.0,100.0,30.0,15.0
Shredded pork with water bamboo," 80 g
",0.0,80.0,24.0,0.0
Fried vegetable," 100 g
",50.0,100.0,30.0,15.0
Coarse grain," 100 g
",40.0,100.0,30.0,12.0
Bread," 50 g
",50.0,50.0,15.0,7.5
Egg," 100 g
",30.0,100.0,30.0,9.0
Soybean milk, 175 ml,50.0,175.0,52.5,26.25
Mixed rice," 128 g
",50.0,128.0,38.4,19.2
Mushroom and beef," 60 g
",12.5,60.0,18.0,2.25
Rice," 60 g
",50.0,60.0,18.0,9.0
Dehydrated vegetable, 8 g,50.0,8.0,2.4,1.2
Fried pork with onion," 100 g
",0.0,100.0,30.0,0.0
Cucumber and okra," 150 g
",50.0,150.0,45.0,22.5
Broccoli," 50 g
",50.0,50.0,15.0,7.5
Sea cucumber," 45 g
",50.0,45.0,13.5,6.75
Tomato and wax gourd soup," 100 ml
",50.0,100.0,30.0,15.0
Coarse grain, 100 g,40.0,100.0,30.0,12.0
Bread," 50 g
",50.0,50.0,15.0,7.5
Soybean milk," 175 ml
",50.0,175.0,52.5,26.25
Egg, 100 g,30.0,100.0,30.0,9.0
Noodles mixed with  butter," 100 g
",50.0,100.0,30.0,15.0
Beef and king oyster mushroom," 150 g
",12.5,150.0,45.0,5.625
Shrimp with black truffle," 100 g
",50.0,100.0,30.0,15.0
Cucumber, 100 g,50.0,100.0,30.0,15.0
Coarse grain," 100 g
",40.0,100.0,30.0,12.0
Wax gourd and salted pork soup," 100 ml
",0.0,100.0,30.0,0.0
Fried pork slices with cabbage," 100 g
",0.0,100.0,30.0,0.0
"Corn, green bean, carrot, and pine nut"," 150 g
",40.0,150.0,45.0,18.0
Roast lamb chops with onion," 200 g
",50.0,200.0,60.0,30.0
Fish, 100 g,50.0,100.0,30.0,15.0
Whey protein wafer bar," 40 g
",50.0,40.0,12.0,6.0
Egg," 50 g
",30.0,50.0,15.0,4.5
Water, 200 ml,50.0,200.0,60.0,30.0
Konjak cold noodles," 150 g
",50.0,150.0,45.0,22.5
Celery and dried bean curd and shredded beef," 100 g
",50.0,100.0,30.0,15.0
Minced pork with eggplant, 100 g,15.0,100.0,30.0,4.5
Chicken and wax gourd soup," 100 ml
",50.0,100.0,30.0,15.0
Coarse grain," 100 g
",40.0,100.0,30.0,12.0
Fried eggplant, 50 g,30.0,50.0,15.0,4.5
Egg," 50 g
",30.0,50.0,15.0,4.5
Water, 200 ml,50.0,200.0,60.0,30.0
Vegetable salad," 150 g
",50.0,150.0,45.0,22.5
Sliced beef," 95 g
",50.0,95.0,28.5,14.25
Egg," 55 g
",30.0,55.0,16.5,4.95
Coarse grain," 105 g
",40.0,105.0,31.5,12.6
Fried pork with cabbage, 120 g,0.0,120.0,36.0,0.0
Wafer bar," 40 g
",50.0,40.0,12.0,6.0
Egg," 50 g
",30.0,50.0,15.0,4.5
Water, 200 ml,50.0,200.0,60.0,30.0
Mix noodles," 100 g
",50.0,100.0,30.0,15.0
Tomato, 60 g,50.0,60.0,18.0,9.0
Egg," 50 g
",30.0,50.0,15.0,4.5
Water, 200 ml,50.0,200.0,60.0,30.0
 Hairtail," 100 g
",50.0,100.0,30.0,15.0
Sliced boiled chicken," 100 g
",50.0,100.0,30.0,15.0
Snail," 50 g
",50.0,50.0,15.0,7.5
Scallop, 50 g,50.0,50.0,15.0,7.5
Seafood, 200 g,50.0,200.0,60.0,30.0
Wonton, 50 g,72.5,50.0,15.0,10.875
Seafood, 210 g,50.0,210.0,63.0,31.5
Steak," 120 g
",50.0,120.0,36.0,18.0
Sausage," 50 g
",50.0,50.0,15.0,7.5
Tomato and egg soup," 100 ml
",30.0,100.0,30.0,9.0
Fried needle mushroom, 100 g,12.5,100.0,30.0,3.75
Scallion oil noodles," 120 g
",50.0,120.0,36.0,18.0
Corn soup," 100 ml
",50.0,100.0,30.0,15.0
Green vegetable and mushroom," 100 g
",12.5,100.0,30.0,3.75
Spicy pork, 80 g,0.0,80.0,24.0,0.0
Red hairy hermit crab," 500 g
",50.0,500.0,150.0,75.0
Emperor crab," 200 g
",50.0,200.0,60.0,30.0
Steak, 120 g,50.0,120.0,36.0,18.0
Mixed rice," 100 g
",50.0,100.0,30.0,15.0
Shredded beef with long bean," 150 g
",50.0,150.0,45.0,22.5
Cabbage, 80 g,50.0,80.0,24.0,12.0
Yellow croaker noodles, 150 g,50.0,150.0,45.0,22.5
Vegetable salad, 120 g,50.0,120.0,36.0,18.0
Soy flour pancake," 30 g
",50.0,30.0,9.0,4.5
Thin egg pancake," 40 g
",30.0,40.0,12.0,3.6
Water, 200 ml,50.0,200.0,60.0,30.0
Mixed coarse grain with beef and onion," 270 g
",40.0,270.0,81.0,32.4
Salted shrimp," 200 g
",50.0,200.0,60.0,30.0
Lettuce with oyster sauce, 100 g,50.0,100.0,30.0,15.0
Wafer bar," 288 g
",50.0,288.0,86.39999999999999,43.2
Chicken meatball," 100 g
",50.0,100.0,30.0,15.0
Water, 200 ml,50.0,200.0,60.0,30.0
Noodles with beef and scallion oil, 100 g,50.0,100.0,30.0,15.0
Wafer bar," 288 g
",50.0,288.0,86.39999999999999,43.2
Water, 200 ml,50.0,200.0,60.0,30.0
Konjak cold noodles mixed with peanut butter," 180 g
",50.0,180.0,54.0,27.0
Fried gluten puff,"  80 g
",50.0,80.0,24.0,12.0
Vegetable and mushroom, 120 g,12.5,120.0,36.0,4.5
Fried tasty snail," 100 g
",50.0,100.0,30.0,15.0
Abalone," 50 g
",50.0,50.0,15.0,7.5
"Egg yolk, Chicken wing and fish", 100 g,30.0,100.0,30.0,9.0
Shrimp dumpling," 40 g
",50.0,40.0,12.0,6.0
Wonton stuffed with corn and pork, 50 g,36.25,50.0,15.0,5.4375
Pig feet," 40 g
",50.0,40.0,12.0,6.0
Sausage," 20 g
",50.0,20.0,6.0,3.0
Pig liver," 50 g
",50.0,50.0,15.0,7.5
Fried zucchini, 100 g,50.0,100.0,30.0,15.0
Steak," 120 g
",50.0,120.0,36.0,18.0
Sausage," 20 g
",50.0,20.0,6.0,3.0
Onion ring, 40 g,50.0,40.0,12.0,6.0
Asparagus," 80 g
",50.0,80.0,24.0,12.0
Three yellow chicken," 150 g
",50.0,150.0,45.0,22.5
Chicken soup, 100 ml,50.0,100.0,30.0,15.0
Vegetable salad, 150 g,50.0,150.0,45.0,22.5
Scrambled egg with tomato," 100 g
",30.0,100.0,30.0,9.0
Fried pork with water bamboo," 120 g
",0.0,120.0,36.0,0.0
Braised bream," 100 g
",50.0,100.0,30.0,15.0
Shrimp, 80 g,50.0,80.0,24.0,12.0
Peanut butter," 20 g
",50.0,20.0,6.0,3.0
Konjak cold noodles," 50 g
",50.0,50.0,15.0,7.5
Bread," 50 g
",50.0,50.0,15.0,7.5
Scrambled egg with tomato," 100 g
",30.0,100.0,30.0,9.0
Shrimp, 40 g,50.0,40.0,12.0,6.0
Roast pork, 200 g,0.0,200.0,60.0,0.0
Noodles, 100 g,50.0,100.0,30.0,15.0
Shrimp," 50 g
",50.0,50.0,15.0,7.5
Vegetable," 50 g
",50.0,50.0,15.0,7.5
Laver soup," 50 g
",50.0,50.0,15.0,7.5
Scrambled egg, 50 g,30.0,50.0,15.0,4.5
Egg," 50 g
",30.0,50.0,15.0,4.5
Vegetable," 100 g
",50.0,100.0,30.0,15.0
Plum, 150 g,50.0,150.0,45.0,22.5
Rice," 50 g
",50.0,50.0,15.0,7.5
Tofu skin rolls with minced pork," 30 g
",0.0,30.0,9.0,0.0
Fried egg with onion, 50 g,30.0,50.0,15.0,4.5
Cowpea," 50 g
",50.0,50.0,15.0,7.5
Rice," 50 g
",50.0,50.0,15.0,7.5
Fish and eggplant, 50 g,30.0,50.0,15.0,4.5
Egg," 100 g
",30.0,100.0,30.0,9.0
Vegetable," 50 g
",50.0,50.0,15.0,7.5
Cake, 50 g,50.0,50.0,15.0,7.5
Hairtail," 50 g
",50.0,50.0,15.0,7.5
Vegetable," 50 g
",50.0,50.0,15.0,7.5
Rice," 50 g
",50.0,50.0,15.0,7.5
Peach, 50 g,50.0,50.0,15.0,7.5
Spicy hot pot, 300 g,50.0,300.0,90.0,45.0
Duck head," 50 g
",50.0,50.0,15.0,7.5
Grape, 10 g,50.0,10.0,3.0,1.5
Egg," 100 g
",30.0,100.0,30.0,9.0
Cake," 20 g
",50.0,20.0,6.0,3.0
Vegetable, 100 g,50.0,100.0,30.0,15.0
Plum, 150 g,50.0,150.0,45.0,22.5
Rice," 50 g
",50.0,50.0,15.0,7.5
Beef," 50 g
",50.0,50.0,15.0,7.5
Shrimp, 20 g,50.0,20.0,6.0,3.0
Braised pork with bamboo shoots," 50 g
",0.0,50.0,15.0,0.0
Pizza," 150 g
",50.0,150.0,45.0,22.5
Grape, 20 g,50.0,20.0,6.0,3.0
Egg," 50 g
",30.0,50.0,15.0,4.5
Vegetable," 50 g
",50.0,50.0,15.0,7.5
Cake, 50 g,50.0,50.0,15.0,7.5
Rice and pickles, 100 g,50.0,100.0,30.0,15.0
Cauliflower," 50 g
",17.5,50.0,15.0,2.625
Fish," 50 g
",50.0,50.0,15.0,7.5
Pork," 50 g
",0.0,50.0,15.0,0.0
Vegetable, 50 g,50.0,50.0,15.0,7.5
Egg, 100 g,30.0,100.0,30.0,9.0
Peach, 150 g,50.0,150.0,45.0,22.5
Duck," 50 g
",50.0,50.0,15.0,7.5
Rice," 100 g
",50.0,100.0,30.0,15.0
Vegetable," 50 g
",50.0,50.0,15.0,7.5
Peach," 150 g
",50.0,150.0,45.0,22.5
Egg tart, 100 g,30.0,100.0,30.0,9.0
Egg," 50 g
",30.0,50.0,15.0,4.5
Steamed bean bun, 80 g,50.0,80.0,24.0,12.0
Fried noodles, 100 g,50.0,100.0,30.0,15.0
Rice cake, 80 g,50.0,80.0,24.0,12.0
Hot pot, 300 g,50.0,300.0,90.0,45.0
Egg," 100 g
",30.0,100.0,30.0,9.0
Sugar free sticky rice cake, 80 g,50.0,80.0,24.0,12.0
Corn," 150 g
",50.0,150.0,45.0,22.5
Sticky rice cake, 80 g,50.0,80.0,24.0,12.0
Corn," 50 g
",50.0,50.0,15.0,7.5
Rice," 50 g
",50.0,50.0,15.0,7.5
Steamed gluten," 50 g
",50.0,50.0,15.0,7.5
Vegetable," 50 g
",50.0,50.0,15.0,7.5
Egg soup, 100 ml,30.0,100.0,30.0,9.0
Apple," 125 g
",50.0,125.0,37.5,18.75
Sticky rice cake, 80 g,50.0,80.0,24.0,12.0
Noodles," 100 g
",50.0,100.0,30.0,15.0
Peach, 60 g,50.0,60.0,18.0,9.0
Fried rice," 100 g
",50.0,100.0,30.0,15.0
Braised bamboo shoots, 50 g,50.0,50.0,15.0,7.5
Fungus, 80 g,50.0,80.0,24.0,12.0
Corn," 50 g
",50.0,50.0,15.0,7.5
Fungus, 80 g,50.0,80.0,24.0,12.0
Steamed pork bun," 120 g
",0.0,120.0,36.0,0.0
Egg," 50 g
",30.0,50.0,15.0,4.5
Milk, 250 ml,50.0,250.0,75.0,37.5
Noodles," 100 g
",50.0,100.0,30.0,15.0
Pork rib, 50 g,0.0,50.0,15.0,0.0
Towel gourd," 120 g
",50.0,120.0,36.0,18.0
Scrambled egg with tomato," 120 g
",30.0,120.0,36.0,10.8
Beer," 650 ml
",50.0,650.0,195.0,97.5
Vegetable and rice, 100 g,50.0,100.0,30.0,15.0
Rye bread," 100 g
",50.0,100.0,30.0,15.0
Milk, 188 g,50.0,188.0,56.4,28.2
Milk," 250 ml
",50.0,250.0,75.0,37.5
Rye bread, 100 g,50.0,100.0,30.0,15.0
Dumpling," 230 g
",50.0,230.0,69.0,34.5
Beer, 330 ml,50.0,330.0,99.0,49.5
Noodles, 250 g,50.0,250.0,75.0,37.5
Beer," 500 ml
",50.0,500.0,150.0,75.0
Cucumber," 100 g
",50.0,100.0,30.0,15.0
Lamb chop," 130 g
",50.0,130.0,39.0,19.5
Vegetable, 100 g,50.0,100.0,30.0,15.0
Vegetable stuffed wonton, 200 g,72.5,200.0,60.0,43.5
Beer," 330 ml
",50.0,330.0,99.0,49.5
Cucumber," 100 g
",50.0,100.0,30.0,15.0
Tofu," 50 g
",50.0,50.0,15.0,7.5
Pork chop, 80 g,0.0,80.0,24.0,0.0
Beer," 630 ml
",50.0,630.0,189.0,94.5
Cucumber," 250 g
",50.0,250.0,75.0,37.5
Duck," 100 g
",50.0,100.0,30.0,15.0
Tofu, 100 g,50.0,100.0,30.0,15.0
Cucumber," 50 g
",50.0,50.0,15.0,7.5
Tomato," 80 g
",50.0,80.0,24.0,12.0
Egg," 30 g
",30.0,30.0,9.0,2.7
Rye bread, 50 g,50.0,50.0,15.0,7.5
Rye bread," 50 g
",50.0,50.0,15.0,7.5
Cucumber," 50 g
",50.0,50.0,15.0,7.5
Plum, 40 g,50.0,40.0,12.0,6.0
Beer," 500 ml
",50.0,500.0,150.0,75.0
Cucumber," 300 g
",50.0,300.0,90.0,45.0
Pork chop, 150 g,0.0,150.0,45.0,0.0
Cucumber," 80 g
",50.0,80.0,24.0,12.0
Egg," 100 g
",30.0,100.0,30.0,9.0
Tomato," 200 g
",50.0,200.0,60.0,30.0
Bread, 50 g,50.0,50.0,15.0,7.5
Braised pork with preserved vegetable in soya sauce," 40 g
",0.0,40.0,12.0,0.0
Cauliflower," 30 g
",17.5,30.0,9.0,1.575
Vegetable, 50 g,50.0,50.0,15.0,7.5
Beer," 650 ml
",50.0,650.0,195.0,97.5
Green onion," 50 g
",50.0,50.0,15.0,7.5
Chicken, 50 g,50.0,50.0,15.0,7.5
Cereal," 50 g
",50.0,50.0,15.0,7.5
Steamed vegetable bun," 40 g
",50.0,40.0,12.0,6.0
Egg, 30 g,30.0,30.0,9.0,2.7
Beer," 330 ml
",50.0,330.0,99.0,49.5
Cucumber," 120 g
",50.0,120.0,36.0,18.0
Nut, 30 g,50.0,30.0,9.0,4.5
Beer," 650 ml
",50.0,650.0,195.0,97.5
Cucumber," 80 g
",50.0,80.0,24.0,12.0
Tofu," 40 g
",50.0,40.0,12.0,6.0
Pork rib, 50 g,0.0,50.0,15.0,0.0
Egg," 60 g
",30.0,60.0,18.0,5.4
Dumpling, 60 g,50.0,60.0,18.0,9.0
Beer," 320 ml
",50.0,320.0,96.0,48.0
Cucumber," 80 g
",50.0,80.0,24.0,12.0
Towel gourd," 20 g
",50.0,20.0,6.0,3.0
Beef," 30 g
",50.0,30.0,9.0,4.5
Steamed gluten," 40 g
",50.0,40.0,12.0,6.0
Pork, 30 g,0.0,30.0,9.0,0.0
Egg," 45 g
",30.0,45.0,13.5,4.05
Dumpling, 60 g,50.0,60.0,18.0,9.0
Pork rib," 60 g
",0.0,60.0,18.0,0.0
Minced garlic," 50 g
",50.0,50.0,15.0,7.5
Rice," 20 g
",50.0,20.0,6.0,3.0
Cabbage, 50 g,50.0,50.0,15.0,7.5
Boiled egg," 50 g
",30.0,50.0,15.0,4.5
Pan-fried dumplings," 50 g
",50.0,50.0,15.0,7.5
Durian," 30 g
",50.0,30.0,9.0,4.5
Peach, 300 g,50.0,300.0,90.0,45.0
Beer," 330 ml
",50.0,330.0,99.0,49.5
Cucumber," 60 g
",50.0,60.0,18.0,9.0
Green onion," 40 g
",50.0,40.0,12.0,6.0
Pork," 60 g
",0.0,60.0,18.0,0.0
Peach, 300 g,50.0,300.0,90.0,45.0
Beer," 330 ml
",50.0,330.0,99.0,49.5
Cucumber," 60 g
",50.0,60.0,18.0,9.0
Green onion," 60 g
",50.0,60.0,18.0,9.0
Chicken," 60 g
",50.0,60.0,18.0,9.0
Jellyfish, 40 g,50.0,40.0,12.0,6.0
Pan-fried dumplings," 100 g
",50.0,100.0,30.0,15.0
Egg," 40 g
",30.0,40.0,12.0,3.6
Fungus, 400 g,50.0,400.0,120.0,60.0
Beer," 330 ml
",50.0,330.0,99.0,49.5
Pumpkin," 80 g
",50.0,80.0,24.0,12.0
Scrambled egg, 60 g,30.0,60.0,18.0,5.4
Beer," 320 ml
",50.0,320.0,96.0,48.0
Pumpkin," 80 g
",50.0,80.0,24.0,12.0
Green onion," 60 g
",50.0,60.0,18.0,9.0
Pork," 50 g
",0.0,50.0,15.0,0.0
Chicken, 40 g,50.0,40.0,12.0,6.0
Egg," 30 g
",30.0,30.0,9.0,2.7
Pan-fried dumplings," 50 g
",50.0,50.0,15.0,7.5
Tofu pudding, 30 g,50.0,30.0,9.0,4.5
Noodles served with sauce," 100 g
",50.0,100.0,30.0,15.0
Beef, 50 g,50.0,50.0,15.0,7.5
Steamed twisted roll," 100 g
",50.0,100.0,30.0,15.0
Egg white," 25 g
",30.0,25.0,7.5,2.25
Milk, 220 ml,50.0,220.0,66.0,33.0
Rice," 50 g
",50.0,50.0,15.0,7.5
Braised pork with tofu skin knot," 50 g
",0.0,50.0,15.0,0.0
Vegetable," 50 g
",50.0,50.0,15.0,7.5
Fried vermicelli, 50 g,50.0,50.0,15.0,7.5
Sweet potato," 100 g
",50.0,100.0,30.0,15.0
Taro," 100 g
",50.0,100.0,30.0,15.0
Corn," 100 g
",50.0,100.0,30.0,15.0
Vegetable," 100 g
",50.0,100.0,30.0,15.0
Fish, 50 g,50.0,50.0,15.0,7.5
Tomato and egg noodles, 150 g,30.0,150.0,45.0,13.5
Taro," 100 g
",50.0,100.0,30.0,15.0
Sweet potato," 50 g
",50.0,50.0,15.0,7.5
Cereal, 100 g,50.0,100.0,30.0,15.0
Vegetable," 200 g
",50.0,200.0,60.0,30.0
Corn," 200 g
",50.0,200.0,60.0,30.0
Beef and onion, 40 g,50.0,40.0,12.0,6.0
Taro," 80 g
",50.0,80.0,24.0,12.0
Egg white, 50 g,30.0,50.0,15.0,4.5
Chicken leg," 80 g
",50.0,80.0,24.0,12.0
Water spinach," 50 g
",50.0,50.0,15.0,7.5
Vermicelli," 50 g
",50.0,50.0,15.0,7.5
Rice, 50 g,50.0,50.0,15.0,7.5
Green bean," 50 g
",50.0,50.0,15.0,7.5
Water spinach," 20 g
",50.0,20.0,6.0,3.0
Vegetable," 270 g
",50.0,270.0,81.0,40.5
Fish," 40 g
",50.0,40.0,12.0,6.0
Corn," 80 g
",50.0,80.0,24.0,12.0
Wax gourd, 100 g,50.0,100.0,30.0,15.0
Beef patty," 142 g
",50.0,142.0,42.6,21.3
Bread, 80 g,50.0,80.0,24.0,12.0
Duck soup," 100 g
",50.0,100.0,30.0,15.0
Green soybean," 80 g
",50.0,80.0,24.0,12.0
Water spinach," 50 g
",50.0,50.0,15.0,7.5
Coarse grain, 50 g,40.0,50.0,15.0,6.0
Duck meat," 50 g
",50.0,50.0,15.0,7.5
Coarse grain," 50 g
",40.0,50.0,15.0,6.0
Lotus root," 50 g
",50.0,50.0,15.0,7.5
Vegetable," 100 g
",50.0,100.0,30.0,15.0
Corn, 80 g,50.0,80.0,24.0,12.0
Bread, 100 g,50.0,100.0,30.0,15.0
Pork patty, 100 g,0.0,100.0,30.0,0.0
Noodles served with sauce," 100 g
",50.0,100.0,30.0,15.0
Chicken, 100 g,50.0,100.0,30.0,15.0
Corn," 150 g
",50.0,150.0,45.0,22.5
Shrimp," 50 g
",50.0,50.0,15.0,7.5
Fish," 50 g
",50.0,50.0,15.0,7.5
Sword bean, 80 g,50.0,80.0,24.0,12.0
Steamed vermicelli bun," 100 g
",50.0,100.0,30.0,15.0
Egg, 50 g,30.0,50.0,15.0,4.5
Beef with potato," 80 g
",50.0,80.0,24.0,12.0
Rice," 50 g
",50.0,50.0,15.0,7.5
Bean sprout," 50 g
",50.0,50.0,15.0,7.5
Cauliflower, 50 g,17.5,50.0,15.0,2.625
Corn," 150 g
",50.0,150.0,45.0,22.5
Hairtail," 80 g
",50.0,80.0,24.0,12.0
Vegetable, 100 g,50.0,100.0,30.0,15.0
Steamed pork bun," 100 g
",0.0,100.0,30.0,0.0
Deep-fried dough stick," 50 g
",50.0,50.0,15.0,7.5
Egg white, 25 g,30.0,25.0,7.5,2.25
Shrimp," 100 g
",50.0,100.0,30.0,15.0
Water spinach," 50 g
",50.0,50.0,15.0,7.5
Rice," 50 g
",50.0,50.0,15.0,7.5
Mapo tofu, 50 g,50.0,50.0,15.0,7.5
Chicken," 180 g
",50.0,180.0,54.0,27.0
Chongqing style boiled blood curd," 150 g
",50.0,150.0,45.0,22.5
Vegetable, 100 g,50.0,100.0,30.0,15.0
Shredded radish pancake," 100 g
",50.0,100.0,30.0,15.0
Egg, 50 g,30.0,50.0,15.0,4.5
Fish," 50 g
",50.0,50.0,15.0,7.5
Coarse grain," 50 g
",40.0,50.0,15.0,6.0
Pork rib," 80 g
",0.0,80.0,24.0,0.0
Clam," 50 g
",50.0,50.0,15.0,7.5
Vegetable," 80 g
",50.0,80.0,24.0,12.0
Corn, 80 g,50.0,80.0,24.0,12.0
Noodles," 100 g
",50.0,100.0,30.0,15.0
Egg, 50 g,30.0,50.0,15.0,4.5
Dried bean curd salad," 80 g
",50.0,80.0,24.0,12.0
Yam and fungus," 50 g
",50.0,50.0,15.0,7.5
Rice, 50 g,50.0,50.0,15.0,7.5
Corn," 200 g
",50.0,200.0,60.0,30.0
Pork," 80 g
",0.0,80.0,24.0,0.0
Shrimp," 50 g
",50.0,50.0,15.0,7.5
Yam," 80 g
",50.0,80.0,24.0,12.0
Okra, 50 g,50.0,50.0,15.0,7.5
 Taro," 100 g
",50.0,100.0,30.0,15.0
Apple cider vinegar," 100 g
",50.0,100.0,30.0,15.0
Egg white, 50 g,30.0,50.0,15.0,4.5
Pork meatball," 100 g
",0.0,100.0,30.0,0.0
Cabbage," 50 g
",50.0,50.0,15.0,7.5
Sword bean," 80 g
",50.0,80.0,24.0,12.0
Rice, 50 g,50.0,50.0,15.0,7.5
Pork rib soup," 50 g
",0.0,50.0,15.0,0.0
Sweet bean," 50 g
",50.0,50.0,15.0,7.5
Coarse grain," 50 g
",40.0,50.0,15.0,6.0
Corn," 100 g
",50.0,100.0,30.0,15.0
Pork rib," 80 g
",0.0,80.0,24.0,0.0
Eggplant, 40 g,30.0,40.0,12.0,3.6
Bread," 110 g
",50.0,110.0,33.0,16.5
Ham sausage," 40 g
",50.0,40.0,12.0,6.0
Milk, 250 ml,50.0,250.0,75.0,37.5
Noodles," 150 g
",50.0,150.0,45.0,22.5
Egg," 50 g
",30.0,50.0,15.0,4.5
Eel and water bamboo, 50 g,50.0,50.0,15.0,7.5
Noodles," 150 g
",50.0,150.0,45.0,22.5
Shrimp," 56 g
",50.0,56.0,16.8,8.4
Vegetable," 50 g
",50.0,50.0,15.0,7.5
Tomato," 60 g
",50.0,60.0,18.0,9.0
Watermelon, 290 g,50.0,290.0,87.0,43.5
Steamed bun," 100 g
",50.0,100.0,30.0,15.0
Milk, 250 ml,50.0,250.0,75.0,37.5
Bread," 100 g
",50.0,100.0,30.0,15.0
Melon, 340 g,50.0,340.0,102.0,51.0
Wonton," 260 g
",72.5,260.0,78.0,56.55
Ham sausage," 40 g
",50.0,40.0,12.0,6.0
Chicken feet," 50 g
",50.0,50.0,15.0,7.5
Watermelon, 178 g,50.0,178.0,53.4,26.7
Cereal," 75 g
",50.0,75.0,22.5,11.25
Milk," 250 ml
",50.0,250.0,75.0,37.5
Melon, 240 g,50.0,240.0,72.0,36.0
Bread," 140 g
",50.0,140.0,42.0,21.0
Ham sausage, 40 g,50.0,40.0,12.0,6.0
Bread," 120 g
",50.0,120.0,36.0,18.0
Ham sausage," 40 g
",50.0,40.0,12.0,6.0
Grape, 100 g,50.0,100.0,30.0,15.0
Bread," 100 g
",50.0,100.0,30.0,15.0
Corn," 167 g
",50.0,167.0,50.1,25.05
Chicken fillet, 47 g,50.0,47.0,14.1,7.05
Cod burger," 200 g
",50.0,200.0,60.0,30.0
Chicken fillet, 64 g,50.0,64.0,19.2,9.6
Noodles," 120 g
",50.0,120.0,36.0,18.0
Watermelon, 250 g,50.0,250.0,75.0,37.5
Cereal," 80 g
",50.0,80.0,24.0,12.0
Milk, 250 ml,50.0,250.0,75.0,37.5
Wonton, 380 g,72.5,380.0,114.0,82.65
Rice," 50 g
",50.0,50.0,15.0,7.5
Vegetable," 70 g
",50.0,70.0,21.0,10.5
Dried bamboo shoots," 30 g
",50.0,30.0,9.0,4.5
Fish," 55 g
",50.0,55.0,16.5,8.25
