dish,net,Estimated_GI,net_cleaned,Net_Carbs,GL
Shredded pork with lettuce and fungus," 117 g
",0.0,117.0,35.1,0.0
Cabbage and carrot," 120 g
",40.0,120.0,36.0,14.4
Coarse grain, 289 g,40.0,289.0,86.7,34.68
Egg," 62 g
",30.0,62.0,18.599999999999998,5.579999999999999
Coarse grain steamed bread," 140g
",40.0,140.0,42.0,16.8
Boiled vegetable, 103 g,50.0,103.0,30.9,15.45
Chicken with lotus root and celery," 149 g
",50.0,149.0,44.699999999999996,22.35
Fried sliced pork," 115 g
",0.0,115.0,34.5,0.0
Green pepper and green bean sprouts," 111g
",50.0,111.0,33.3,16.65
Coarse grain, 263 g,40.0,263.0,78.89999999999999,31.559999999999995
Sliced pork with bitter melon," 159 g
",0.0,159.0,47.699999999999996,0.0
Shredded pork with green pepper and water bamboo," 134 g
",0.0,134.0,40.199999999999996,0.0
Vegetable," 112 g
",50.0,112.0,33.6,16.8
Rice, 261 g,50.0,261.0,78.3,39.15
Egg," 62 g
",30.0,62.0,18.599999999999998,5.579999999999999
Coarse grain steamed bread," 140 g
",40.0,140.0,42.0,16.8
Boiled vegetable, 103 g,50.0,103.0,30.9,15.45
Grilled pork ribs with scallions," 115 g
",0.0,115.0,34.5,0.0
Minced pork with white gourd," 132 g
",0.0,132.0,39.6,0.0
Sweet potato leaves," 103 g
",50.0,103.0,30.9,15.45
Coarse grain, 275 g,40.0,275.0,82.5,33.0
Sliced pork with zucchini,"  178 g
",0.0,178.0,53.4,0.0
Shredded pork with cucumber and carrot," 112 g
",20.0,112.0,33.6,6.72
Radish," 118 g
",50.0,118.0,35.4,17.7
Coarse grain, 277 g,40.0,277.0,83.1,33.24
Egg," 62 g
",30.0,62.0,18.599999999999998,5.579999999999999
Coarse grain steamed bread," 137 g
",40.0,137.0,41.1,16.44
Boiled vegetable, 111 g,50.0,111.0,33.3,16.65
Fried duck breast with beech mushroom," 128 g
",12.5,128.0,38.4,4.8
Shredded pork with gourd and tomato,"  125 g
",0.0,125.0,37.5,0.0
Lettuce," 96 g
",50.0,96.0,28.799999999999997,14.399999999999999
Coarse grain, 289 g,40.0,289.0,86.7,34.68
Shredded pork with green pepper and beech mushroom," 137 g
",6.25,137.0,41.1,2.56875
Minced pork with towel gourd," 157 g
",0.0,157.0,47.1,0.0
Chinese cabbage and carrot," 121 g
",27.5,121.0,36.3,9.982499999999998
Coarse grain, 267 g,40.0,267.0,80.1,32.04
Egg," 69 g
",30.0,69.0,20.7,6.21
Coarse grain steamed bread," 140 g
",40.0,140.0,42.0,16.8
Boiled vegetable, 103 g,50.0,103.0,30.9,15.45
Fried pork slices with Bergamot melon," 160 g
",0.0,160.0,48.0,0.0
Shredded pork with lettuce," 139 g
",0.0,139.0,41.699999999999996,0.0
Cabbage," 108 g
",50.0,108.0,32.4,16.2
